"","variablename","collunitid","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment","family","genus","species","REGION"
"5662669","Sagittaria","11689",-54,"Calibrated radiocarbon years BP",-49,-60,33579,"Wang et al. 2019","NISP",8.2,NA,"pollen",270,NA,"Vascular plants","pollen","AQVP",114941,"Tedford, Rebecca A.","146980",0,NA,NA,"15696","North American Pollen Database","pollen",4504,-60,NA,"10326","Catahoula Lake (core CLR3)",31.495356,-92.147554,NA,NA,"Catahoula Lake is Louisiana's largest natural freshwater lake. Surrounding vegetation: Bottomland hardwood forests, scrub/shrub, and emergent lakebed communities. Bottomland forest includes willow, sycamore, and cottonwood. The dominant overstory species include oaks, water hickory, elms, ashes, maples, locusts, and sweetgum. Midstory can include dogwoods, red mulberry, and hawthorn. Understory species are abundant with herbaceous species such as three-seed mercury and whitegrass, with woody vines and grape. Transitional community that contains ashes, black willow, water locust, red maple, Virginia willow, and buttonbush. Understory is sparse due to long hydroperiods. Scrub/Shrub swamp is found along the fringes of the lakebed. Large shrubs or trees less than 6 ft tall and may include willow, water elm, swamp privet, wax myrtle, and dwarf palmetto. Understory includes buckwheat vine, cocklebur, sedges, and grasses. The lakebed communities consist of permanently inundated part of the lake dominated by arrowwood, mud plantain, and water hyssops, as well as flood tolerant grasses.",12,"CATACLR3",2004-10-01,NA,14,NA,"Vibracore",33579,NA,"Natural Lake","Alismataceae","Sagittaria",NA,"North America"
"1828921","Amaranthaceae","15623",815,"Calibrated radiocarbon years BP",935,678,12294,"Neotoma 1","NISP",6,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",153435,"Mehringer, Peter J., Jr.","197288",NA,NA,NA,"21393","North American Pollen Database","pollen",935,678,NA,"10332","Catlow Rim",42.5494,-118.9304,NA,NA,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.",1460,"DC-2",NA,NA,NA,NA,NA,12294,NA,"Neotoma Midden","Amaranthaceae",NA,NA,"North America"
"1721596","Amaranthaceae","11691",-14,"Calibrated radiocarbon years BP",-8,-20,34305,"Wang et al. 2019","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",114977,"Nichols, Harvey","147016",0,NA,NA,"15700","North American Pollen Database","pollen",1041,-20,NA,"10333","Clearwater Bog",54.0106,-101.27704,NA,NA,"Muskeg peat that lies on the side of Clearwater Lake. The mire rests on gently sloping lacustrine sand, formerly a beach of Clearwater Lake. Surrounding vegetation: Woodland patches of Picea mariana and Larix laricina. Sand or gravel ridges are occupied by Pinus banksiana, which has also invaded burned forest areas, along with Populus tremuloides.",266,"CLEARBOG",1964-08-01,"Roadside exposure from bog next to Clearwater Lake",NA,NA,"Collected by hand",34305,NA,"Bog","Amaranthaceae",NA,NA,"North America"
"469931","Artemisia","11692",12796,"Calibrated radiocarbon years BP",12992,12605,33580,"Wang et al. 2019","NISP",10,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",114997,"Stea, Rudolph R.","147039",-30,NA,NA,"15702","North American Pollen Database","pollen",15218,12605,NA,"10334","Collins Pond Site (PL-86-56)",45.42604,-61.34704,NA,NA,"Section exposed along coast at sea level. Physiography: Drumlins with overlying organics. Surrounding vegetation: Spruce/fir coast zone.",3,"COLPNDNS",1986-09-04,"Coastal section",NA,NA,NA,33580,NA,"Coastal","Asteraceae","Artemisia",NA,"North America"
"1719081","Amaranthaceae","11695",NA,NA,NA,NA,NA,NA,"NISP",366,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115121,"Mehringer, Peter J., Jr.","147157",928.5,NA,NA,"15707","North American Pollen Database","pollen",NA,NA,"There are no dates associated with this site.","10337","Hidden Cave",39.40412,-118.6124,NA,NA,NA,1251,"HIDDENNV",1979-07-01,NA,NA,NA,NA,NA,NA,"Cave","Amaranthaceae",NA,NA,"North America"
"1759427","Amaranthaceae","11698",-45,"Calibrated radiocarbon years BP",-39,-51,33581,"Wang et al. 2019","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115198,"Heinrichs, Markus L.","147236",0,NA,NA,"15713","North American Pollen Database","pollen",13704,-51,NA,"10340","Crater Lake",49.192,-120.09616,NA,NA,"One of a pair of lakes on Crater Mountain, the more northly basin. Surrounding vegetation is parkland forest composed of: Picea engelmannii, Pinus contorta, Abies lasiocarpa. Low shrubs, (mainly Vaccinium scoparium,) herbs (mainly Lupinus arcticus), and grasses make up the understory.",2101,"CRATERBC",1995-01-07,NA,1.7,NA,"Modified Livingstone piston corer (5 cm)",33581,NA,"Natural Lake","Amaranthaceae",NA,NA,"North America"
"1817647","Amaranthaceae","11699",-42,"Calibrated radiocarbon years BP",-16,-57,8345,"Neotoma 1","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115304,"Minckley, Thomas A.","147340",1,NA,NA,"15715","North American Pollen Database","pollen",21913,-57,NA,"10341","Dead Horse Lake",42.5576,-120.776,NA,NA,"Dead Horse Lake is located behind a late-Pleistocene moraine on Dead Horse Rim. Surrounding vegetation: The lake is located in the Tsuga mertensiana zone of the Sierran vegetation series. Surrounded by lodgepole pine, western white pine, and whitebark pine with little understory vegetation. Cercocarpus ledifolius, Artemisia tridentata, rock spirea, and gooseberry are present on rocky slopes near the southeastern lakeshore.",2251,"DEADHORS",NA,NA,NA,NA,"Modified Livingstone piston corer (5 cm)",8345,NA,"Moraine Dammed Lake","Amaranthaceae",NA,NA,"North America"
"1747858","Amaranthaceae","11701",-10,"Calibrated radiocarbon years BP",59,-45,8346,"Neotoma 1","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115373,"Miller, Gifford H.","147411",2,NA,NA,"15719","North American Pollen Database","pollen",17463,-45,NA,"10343","Donard Lake",66.6616,-61.78944,NA,"Lake area from the National Hydrography Dataset.  Added on 6/1/21 by Grace Roper, UW-Madison.  Lake-area scripts available at https://github.com/NeotomaDB/neotoma_lakes","The Donard Lakes are a series of lakes near Cape Dyer on Baffin Island. Small Arctic Lake in glacial basin.",424,"DONARD",1995-01-01,"Center of lake",19.75,NA,"Nestje Corer (11cm)",8346,NA,"Glacial Scour Lake","Amaranthaceae",NA,NA,"North America"
"1353215","Betula","11704",-45,"Calibrated radiocarbon years BP",-42,-48,8350,"Neotoma 1","NISP",261,NA,"pollen",29,NA,"Vascular plants","pollen","TRSH",115445,"Bigelow, Nancy H.","147486",0,0.5,NA,"15724","North American Pollen Database","pollen",14879,-48,NA,"10345","Dune Lake",64.4194,-149.8997,NA,NA,"Dune Lake lies within a sand dune field that formed 10,000 years ago when dune activity ceased. Surrounding vegetation: Picea/Betula dominated boreal forest. Open-canopy forest is located mostly on well drained south-facing dune slopes, where a mix of white spruce, paper birch, green alder, and occasional black spruce occurs. At the southern end of the lake there is a mixed community of white spruce, black spurce, and patches of hardwood species (paper birch and quaking aspen dominate).",134,"DUNEAK",1995-07-01,"Deepest part of the lake",8.85,NA,"Piston corer",8350,NA,"Dune Dammed Lake","Betulaceae","Betula",NA,"North America"
"1739008","Amaranthaceae","11707",NA,NA,NA,NA,NA,NA,"NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115595,"Schweger, Charles E.","147625",175,NA,NA,"15727","North American Pollen Database","pollen",NA,NA,NA,"10346","Onion Portage",67.0785,-158.15634,NA,NA,"The Epiguruk site is at Onion Portage on the upstream side of a meander loop which swings back into itself to form a narrow neck of floodplain which was used as a prehistoric portage. Surrounding vegetation: Boreal forest.",65,"EPIGURK1",1967-08-01,NA,NA,NA,NA,NA,NA,"Floodplain","Amaranthaceae",NA,NA,"North America"
"429411","Artemisia","11708",-38,"Calibrated radiocarbon years BP",-35,-41,8351,"Neotoma 1","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",115599,"Burden, Elliot T.","147637",0,NA,NA,"15730","North American Pollen Database","pollen",6533,-41,NA,"10347","Fire Lake",52.33016,-67.360232,NA,NA,"Large peat bog transected by stream. Physiography: Small stream valley on Shield Terrane. Surrounding vegetation: Spruce/Tundra transition.",600,"FIRELAKE",1988-07-26,"Section along stream",NA,NA,NA,8351,NA,"Bog","Asteraceae","Artemisia",NA,"North America"
"5758763","Ambrosia-type","11709",-44,"Calibrated radiocarbon years BP",-27,-55,33582,"Wang et al. 2019","NISP",4,NA,"pollen",16,NA,"Vascular plants","pollen","UPHE",115621,"Farrell, John M.","147664",1,NA,NA,"15732","North American Pollen Database","pollen",8617,-55,NA,"10348","Goose Bay Marsh",44.34709,-75.873398,NA,NA,"Cranberry Creek and Little Cranberry Creek watersheds drain into Goose Bay, creating 177 ha of emergent wetland.. . Surrounding vegetation: The perimeter contains a narrow shrub layer composed of Viburnum dentatum, Cornus, and Spiraea alba. Cattail marsh dominates up to the edge of the open water channel. Along channel edges, vegetation consists of floating leaved plants including Nuphar lutea and Nymphaea odorata along with invasive Hydrocharus morus-ranae. Submersed vegetation includes Myriophyllum spicatum and Utricularia macrorhiza. The Goose Bay wetland is largely surrounded by a substantial wooded buffer consisting primarily of Pinus strobus, Tsuga canadensis, and Quercus bicolor.",75,"GOOSEBAY",2002-10-14,"A protected interior location within the cattail marsh",NA,NA,"Square-rod piston corer (4 cm)",33582,NA,"Marsh","Asteraceae","Ambrosia",NA,"North America"
"442625","Artemisia","11710",-43,"Calibrated radiocarbon years BP",-40,-46,8354,"Neotoma 1","NISP",9,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",115740,"Edlund, Eric G.","147777",0,NA,NA,"15734","North American Pollen Database","pollen",16510,-46,NA,"10349","Grassy Lake",39.70044,-120.665252,NA,NA,"Grassy Lake lies in the glacially scoured 'Lakes Basin'. Surrounding vegetation: mixed conifer forest with red and white fir, Jeffrey pine, lodgepole pine, and western white pine. The lake margin is swampy. Quaking aspen, alder, and willow occur along the margin, while a variety of aquatic plants (sedges, pondweed, water lily, quillwort) grow in the lake itself.",1921,"GRASSYCA",1993-08-21,"Near center of lake",0.8,NA,"Livingstone corer",8354,NA,"Glacial Scour Lake","Asteraceae","Artemisia",NA,"North America"
"1721181","Amaranthaceae","11712",201,"Calibrated radiocarbon years BP",424,-2,33583,"Wang et al. 2019","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115775,"Sauchyn, David J.","147811",7,1,NA,"15738","North American Pollen Database","pollen",11154,-2,NA,"10351","Harris Lake",49.666024,-109.905382,NA,NA,"Harris Lake is in a meltwater channel that formed approximately 12k years ago. Surrounding vegetation: North of the lake is mixed prairie, while a variety of other upland communities found in the Cypress Hills are also found near the lake.",1230,"HARRISSK",1987-01-01,NA,NA,NA,"Modified Livingstone piston corer",33583,NA,"Glacial Meltwater Channel Lake","Amaranthaceae",NA,NA,"North America"
"1785953","Amaranthaceae","11713",-29,"Calibrated radiocarbon years BP",-23,-34,25089,"PalEON-STEPPS","NISP",10,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115897,"NA","147932",0.5,NA,NA,"15740","North American Pollen Database","pollen",10905,-34,"Hemlock Lake is mentioned in 2000 Davis et al publication, but the data remains unpublished.","10352","Hemlock Lake",46.307116,-91.198582,NA,"Name is informal.","Kettle lake on sandy till. Surrounding vegetation: Hemlock, sugar maple, yellow birch, white pine.",412,"HEMLOCK",NA,NA,NA,NA,NA,25089,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"3253393","Asteroideae undiff.","11715",9122,"Calibrated radiocarbon years BP",14219,1035,8359,"Neotoma 1","NISP",9,NA,"pollen",307,NA,"Vascular plants","pollen","UPHE",115951,"Mott, Robert J.","147987",1,2,NA,"15744","North American Pollen Database","pollen",16245,1035,NA,"10354","Joggins Section (MS-82-44)",44.18716,-65.0428,NA,NA,"Coastal exposure. Surrounding vegetation: spruce/fir coastal zone, sparse herbs.",6,"MS-82-44",1982-07-01,"Coastal section",NA,NA,"Sampled by hand",8359,NA,"Marine Beach","Asteraceae",NA,NA,"North America"
"1735029","Amaranthaceae","11716",-41,"Calibrated radiocarbon years BP",-35,-47,33634,"Wang et al. 2019","NISP",3,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",115956,"Miller, Gifford H.","147997",0,NA,NA,"15746","North American Pollen Database","pollen",10643,-47,NA,"10355","Lake Jake",63.666026,-65.15584,NA,NA,"Glacier-dominated lacustrine system. 2km long lake in glaciated valley.",264,"LAKEJAKE",1991-01-01,"Distal basin of lake",37.4,NA,"Nestje Corer",33634,NA,"Glacial Scour Lake","Amaranthaceae",NA,NA,"North America"
"5664872","Sagittaria","11718",4,"Calibrated radiocarbon years BP",50,-37,33635,"Wang et al. 2019","NISP",3,NA,"pollen",270,NA,"Vascular plants","pollen","AQVP",116005,"Liu, Kam-biu","148047",1,NA,NA,"15750","North American Pollen Database","pollen",9335,-37,NA,"10357","Lake Shelby",30.258298,-87.66734,NA,NA,"Lake Shelby is one of three freshwater lakes within Gulf State Park on the Alabama coast.",0,"SHELBYAL",1991-01-01,"Center of the lake",NA,NA,"Modified Livingstone corer",33635,NA,"Natural Lake","Alismataceae","Sagittaria",NA,"North America"
"1721538","Amaranthaceae","11723",NA,NA,NA,NA,NA,NA,"NISP",117,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116087,"Busby, Colin I.","148122",12,NA,NA,"15758","North American Pollen Database","pollen",NA,NA,"There are a few dates, but not related to any depth or definable place in the excavation: The base of the aeolian silt layer in Area C, carbonized basketry was dated at: 5779 +/- 400, 5694 +/- 325. Base of a layer of bat guano: 11,199 +/- 570","10360","Leonard Rockshelter",40.012,-118.474,NA,NA,"Rockshelter that was originally formed by wave action. Surrounding vegetation: Shadscale, Ephedra nevadensis, Grayia spinosa, Artemisia spinescens, and Sarcobatus baileyi.",1266,"LEONARDB",1950-07-01,"East wall",NA,NA,NA,NA,NA,"Rock Shelter","Amaranthaceae",NA,NA,"North America"
"1732358","Amaranthaceae","11725",-43,"Calibrated radiocarbon years BP",-22,-56,8366,"Neotoma 1","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116108,"Minckley, Thomas A.","148158",1,NA,NA,"15762","North American Pollen Database","pollen",13479,-56,NA,"10361","Lily Lake",41.97671,-120.210366,NA,NA,"Landslide-dammed lake in the northern Warner Mountains. Surrounding vegetation: Lily Lake lies in the pine-fir zone of the Sierran vegetation series. Forests surrounding the lake are composed of Abies concolor, Pinus ponderosa, Pinus contorta, Pinus monticola, Calocedrus decurrens, and Juniperus occidentalis. Also present in the watershed are Artemisia ludoviciana, Amelanchier pallida, Rosa woodsii, rock spirea, and gooseberry.",2047,"LILYCA",NA,NA,NA,NA,"Modified Livingstone piston corer (5 cm)",8366,NA,"Landslide Origin Lake","Amaranthaceae",NA,NA,"North America"
"584872","Artemisia","11726",-43,"Calibrated radiocarbon years BP",-37,-49,33636,"Wang et al. 2019","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116204,"Foster, David R.","148253",0,NA,NA,"15764","North American Pollen Database","pollen",3739,-49,NA,"10362","Lily Pond",42.417584,-72.347312,NA,"Lake area from the National Hydrography Dataset.  Added on 6/1/21 by Grace Roper, UW-Madison.  Lake-area scripts available at https://github.com/NeotomaDB/neotoma_lakes","The watershed is dominated by forests of Quercus rubra with lesser amounts of Betula papyrifera, B. lenta, Acer rubrum, and Pinus strobus.",303,"LILYMASS",1993-06-01,"Center of the pond",3,NA,"Modified Livingstone piston sampler",33636,NA,"Nonspecific Floodplain Lake","Asteraceae","Artemisia",NA,"North America"
"1737132","Amaranthaceae","11727",-40,"Calibrated radiocarbon years BP",-37,-43,8370,"Neotoma 1","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116309,"Edlund, Eric G.","148351",0,NA,NA,"15766","North American Pollen Database","pollen",17333,-43,NA,"10363","Lilypad Lake",36.982148,-118.994422,NA,NA,"Lake in an advanced stage of paludification. Surrounding vegetation: Dominated by ponderosa and jeffrey pine, along with firs, incense cedar, sugar pine, lodgepole pine, and a few black oaks. Alder and willow grow along the lake shore. Most open areas are covered by greenleaf manzanita. Common understory plants include Ceanothus, Ribes, and Symphoricarpos. Within the pond itself, sedges predominate at the margin, while the middle of the pond is densely packed with Nuphar polysepalum.",1982,"LILYPDCA",1990-08-01,"Deepest part of lake",8,NA,"Hand operated Livingstone piston corer",8370,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"North America"
"7311957","Lysichiton","11728",-51,"Calibrated radiocarbon years BP",-33,-68,8371,"Neotoma 1","NISP",1,NA,"pollen",1406,NA,"Vascular plants","pollen","UPHE",116346,"Long, Colin James","148390",0,1,NA,"15768","North American Pollen Database","pollen",8329,-68,NA,"10364","Lost Lake",45.823668,-123.57964,NA,"NHD Reach Code 17100202000572","Lost Lake lies on a fault block 30 km east of the Pacific Ocean. Surrounding vegetation: Forest composed primarily of Tsuga heterophylla, Thuja plicata, and Alnus rubra with some Picea sitchensis and Abies grandis. Understory species include Salix spp., Rubus spectabilis, Acer circinatum, with Dryopteris spinulosa on more mesic settings and Pteridium aquillinum in drier disturbed areas.",452,"LOSTLKOR",NA,"Deepest part of the lake",6,NA,"Piston corer (diameter = 5 cm)",8371,NA,"Tectonic Origin Lake","Araceae","Lysichiton",NA,"North America"
"1740577","Amaranthaceae","11730",1937,"Calibrated radiocarbon years BP",3188,926,8373,"Neotoma 1","NISP",99.9999984306749,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116400,"Farley-Gill, L. D.","148442",63.0000027908964,NA,NA,"15772","North American Pollen Database","pollen",16186,926,NA,"10366","Martens Slough (PL-77-20)",52.03828,-106.40952,NA,NA,"Slough. Physiography: Undulating till plain. Surrounding vegetation: Grasslands and farmland.",511,"MARTENS",NA,"Center of slough",NA,NA,"Continuous flight auger",8373,NA,"Mire","Amaranthaceae",NA,NA,"North America"
"425536","Artemisia","11732",-39,"Calibrated radiocarbon years BP",-36,-42,8375,"Neotoma 1","NISP",8,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116418,"Edlund, Eric G.","148460",0,NA,NA,"15776","North American Pollen Database","pollen",11998,-42,NA,"10368","McMurray Lake",39.46014,-120.648978,NA,NA,"Surrounding vegetation: Dense forest of white and red fir, sugar pine, western white pine, and ponderosa pine. Black oak and incense cedar are also present near the lake. Alder is common along the southern lake margin.",1778,"MCMURRAY",1989-09-01,"Center of the lake",2.4,NA,"Livingstone piston corer",8375,NA,"Glacial Scour Lake","Asteraceae","Artemisia",NA,"North America"
"1808633","Amaranthaceae","11733",-36,"Calibrated radiocarbon years BP",-33,-39,33345,"Neotoma 1","NISP",25,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116454,"Davis, Owen K.","148501",0,NA,NA,"15778","North American Pollen Database","pollen",14049,-39,"Data updated by E.C. Grimm, 2 June 2020. Pollen concentrations were provided by O.K. Davis. The exact sum included in these concentration values is uncertain.","10369","Mono Lake",37.99474,-119.0502,NA,NA,"Mono Lake is a large hypersaline lake at the heart of a closed basin. Surrounding vegetation: Sagebrush scrub. In riparian areas: jeffrey and lodgepole pine, aspen, black cottonwood, willow, wild rose, sweet sage, lupine, and desert paintbrush.",1945,"MONOLK",1986-09-01,"Western margin of Mono Lake",2.8,NA,NA,33345,NA,"Tectonic Origin Lake","Amaranthaceae",NA,NA,"North America"
"5782348","Alnus viridis-type","11734",-52,"Calibrated radiocarbon years BP",-49,-55,8377,"Neotoma 1","NISP",132,NA,"pollen",14,NA,"Vascular plants","pollen","TRSH",116511,"Arsenault, Tracy A.","148557",0,NA,NA,"15781","North American Pollen Database","pollen",5073,-55,NA,"10370","Moraine Bog",51.326,-124.916,NA,NA,"Small wetland that occupies a closed depression, located north of Tiedemann Glacier. It is bordered on the southwest by the outermost lateral moraine. Surrounding vegetation: Tsuga mertensiana and Abies amabilis dominate the surrounding forest. Abies lasiocarpa, Picea engelmannii, Tsuga heterophylla, and Pinus monticola are also locally present. The understorey consists mainly of Alnus viridis shrubs and a variety of ferns. Sphagnum is present on the wetland surface. Cyperaceae and Menyanthes trifoliata colonize small wet patches in the wetland and open shallow water supports Nuphar lutea.",891,"MORAINBC",2002-07-01,"Center of a pool of open water in the wetland",NA,NA,"Modified Livingstone piston corer (5 cm)",8377,NA,"Bog","Betulaceae","Alnus",NA,"North America"
"427122","Artemisia","11735",-74,"Calibrated radiocarbon years BP",-71,-77,8379,"Neotoma 1","NISP",19,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116544,"Mott, Robert J.","148587",0,NA,NA,"15783","North American Pollen Database","pollen",14145,-77,"This dataset remains unpublished.","10371","Moraine Lake",71.838,-124.632,NA,NA,"Small lake on moraine, possibly kettle lake. Near the south coast of Banks Island. Surrounding vegetation: Shrub and herb tundra plants.",30,"MS-74-11",1974-07-23,"Centre of lake",8,NA,"Modified Livingstone Corer (5cm)",8379,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"7171909","Chenopodium","11736",293,"Calibrated radiocarbon years BP",932,-4,8380,"Neotoma 1","NISP",5,NA,"pollen",5070,NA,"Vascular plants","pollen","UPHE",116602,"Wang, Xia-Cheng","148645",4,2,NA,"15785","North American Pollen Database","pollen",13394,-4,NA,"10372","Stewert Point Pond",72.283,-120.396,NA,NA,"Small lake near the east coast of Banks Island. Physiography: Hilly glacial deposits. Surrounding vegetation: Herb and shrub tundra plants.",220,"MS-74-12",1974-07-26,"Centre of lake",15,NA,"Modified Livingstone corer (diameter = 5cm)",8380,NA,"Glacial Origin Lake","Amaranthaceae","Chenopodium",NA,"North America"
"588395","Artemisia","11738",116,"Calibrated radiocarbon years BP",385,-17,8382,"Neotoma 1","NISP",15,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116640,"Wang, Xia-Cheng","148683",2.5,1,NA,"15789","North American Pollen Database","pollen",25238,-17,NA,"10374","Caribou Lake (MS-74-15)",73.50428,-120.3118,NA,NA,"Small lake in rolling glacial terrain. Surrounding vegetation: Herb and shrub tundra plants.",120,"MS-74-15",1974-07-20,"Centre of lake",8.5,NA,"Modified Livingstone corer (5 cm)",8382,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"1786872","Amaranthaceae","11740",49,"Calibrated radiocarbon years BP",206,-25,8384,"Neotoma 1","NISP",3,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116707,"Mott, Robert J.","148751",3,1,NA,"15793","North American Pollen Database","pollen",13213,-25,NA,"10376","Roulston Lake (MS-78-15)",46.89418,-67.4003,NA,NA,"Small, possibly karst or kettle lake, along the valley margin of glaciofluvial deposits. Surrounding vegetation: Mixed conifer/hardwood forest.",151,"MS-78-15",1978-08-20,"Central deepest part of lake",4,NA,"Livingstone Piston sampler (diameter = 4 cm)",8384,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"1717658","Amaranthaceae","11741",NA,NA,NA,NA,NA,NA,"NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",116754,"Mott, Robert J.","148794",70,NA,NA,"15794","North American Pollen Database","pollen",NA,NA,NA,"10377","Le Bassin site",47.22818,-61.90434,NA,NA,"The pollen and fossil insects come from Holocene peat sections exposed by erosion at the east end of the Baie du Bassin",1,"MS-82-04",1982-06-19,"Coastal section",NA,NA,"Sediment monoliths sampled by hand",NA,NA,"Coastal","Amaranthaceae",NA,NA,"North America"
"341084","Cichorioideae","11742",401,"Calibrated radiocarbon years BP",1321,-14,8385,"Neotoma 1","NISP",1,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",116783,"Mott, Robert J.","148826",1,NA,NA,"15796","North American Pollen Database","pollen",19123,-14,"This dataset remains unpublished.","10378","Blomidon Section MS-89-16",45.2226,-64.37578,NA,NA,"Section excavated in roadside ditch. Surrounding vegetation: Farm field with grasses.",23,"MS-89-16",1989-07-22,NA,NA,NA,NA,8385,NA,"Terrestrial","Asteraceae",NA,NA,"North America"
"454598","Artemisia","11749",-46,"Calibrated radiocarbon years BP",-40,-52,33637,"Wang et al. 2019","NISP",3,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116814,"Rohr, Melanie","148863",465,NA,NA,"15811","North American Pollen Database","pollen",7885,-52,NA,"10385","Nutella Lake",63.052,-147.39172,NA,NA,"Treeline altitude lake. Surrounding vegetation: Mesic shrub and heath tundra mixture.",931,"NUTELLA",1996-09-01,"Deepest part of the basin",4.65,NA,"Modified Livingstone piston corer",33637,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"474778","Artemisia","11750",-46,"Calibrated radiocarbon years BP",-43,-49,8394,"Neotoma 1","NISP",1,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",116841,"Rohr, Melanie","148896",379,NA,NA,"15814","North American Pollen Database","pollen",NA,NA,NA,"10386","Swampbuggy Lake",63.05404,-147.421728,NA,NA,"Treeline altitude lake. Surrounding vegetation: Open forest. Mesic shrub tundra of mostly alder and some birch.",813,"SWAMPBUG",1996-09-01,NA,4.2,NA,"Modified Livingstone piston corer",NA,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"7172111","Chenopodium","11752",-17,"Calibrated radiocarbon years BP",-11,-24,33680,"Wang et al. 2019","NISP",2,NA,"pollen",5070,NA,"Vascular plants","pollen","UPHE",116889,"Nichols, Harvey","148948",0,NA,NA,"15819","North American Pollen Database","pollen",8476,-24,NA,"10388","Porcupine Mountain",52.45208,-101.71264,NA,NA,"Site is in a peat-filled kettle hole. Surrounding vegetation: Closed forest of Picea mariana and P. glauca, with the peat surface being dominated by living Sphagnum, Ledum groenlandicum, Rubus chaemaemorus, and Polytrichum.",640,"PORCUPIN",1967-09-01,NA,NA,NA,"Modified Hiller-type borer and excavation by hand",33680,NA,"Kettle Lake","Amaranthaceae","Chenopodium",NA,"North America"
"3273087","Asteroideae undiff.","11753",-13,"Calendar years BP",-12,-13,34306,"Wang et al. 2019","NISP",2,NA,"pollen",307,NA,"Vascular plants","pollen","UPHE",116941,"McLachlan, Jason S.","148993",1,NA,NA,"15820","North American Pollen Database","pollen",416,-13,NA,"10389","Prospect Hill II",42.559,-72.184,NA,NA,"Mature primary Tsuga canadensis stand located on a flat site. Surrounding vegetation: Mixture of northern hardwoods such as Fagus grandifolia, Acer saccharum, and Betula alleghaniensis with Tsuga canadensis, Acer rubrum, Pinus strobus, and more souther species such as Quercus rubra and Castanea dentata.",300,"PROSHL2",NA,NA,NA,NA,NA,34306,NA,"Terrestrial","Asteraceae",NA,NA,"North America"
"4793589","Ambrosia","11754",-45,"Calendar years BP",-42,-48,34307,"Wang et al. 2019","NISP",8,NA,"pollen",345,NA,"Vascular plants","pollen","UPHE",116959,"McLachlan, Jason S.","149011",0,NA,NA,"15821","North American Pollen Database","pollen",242,-48,NA,"10390","Prospect Hill VII",42.559,-72.184,NA,NA,"Mature primary Tsuga canadensis stand located on a gentle hill slope. Surrounding vegetation: Mixture of northern hardwoods such as Fagus grandifolia, Acer saccharum, and Betula alleghaniensis with Tsuga canadensis, Acer rubrum, Pinus strobus, and more souther species such as Quercus rubra and Castanea dentata.",300,"PROSHL7",NA,NA,NA,NA,NA,34307,NA,"Terrestrial","Asteraceae","Ambrosia",NA,"North America"
